timestamp,open,high,low,close,volume
2025-06-18 16:27:01,45258.49,45621.42,44700.32,45000.0,1877.3
2025-06-18 17:27:01,45073.84,49341.7,44012.37,48253.18,2435.11
2025-06-18 18:27:01,48302.13,49933.98,47118.22,49720.81,2338.72
2025-06-18 19:27:01,49704.19,49754.5,48810.19,48921.79,857.8
2025-06-18 20:27:01,48936.15,49955.11,47659.06,48280.46,577.86
2025-06-18 21:27:01,48298.91,48945.53,48170.78,48633.93,1551.65
2025-06-18 22:27:01,48638.45,49271.31,47798.97,47885.79,1895.56
2025-06-18 23:27:01,47876.66,51715.85,46893.33,51048.41,1086.87
2025-06-19 00:27:01,51076.9,53910.25,50961.92,52744.4,1262.06
2025-06-19 01:27:01,52758.42,53215.51,51160.17,51980.71,652.43
2025-06-19 02:27:01,51907.92,53197.21,49762.36,51045.54,1894.36
2025-06-19 03:27:01,51205.37,54009.99,51041.36,53758.66,1364.42
2025-06-19 04:27:01,53751.59,54570.9,52688.33,53556.09,772.55
2025-06-19 05:27:01,53446.71,54767.93,52514.56,54655.08,1816.78
2025-06-19 06:27:01,54732.51,55229.99,53244.37,53323.41,1444.19
2025-06-19 07:27:01,53520.34,54133.27,52420.98,52843.7,2225.78
2025-06-19 08:27:01,52730.61,53535.69,52558.27,52865.63,840.64
2025-06-19 09:27:01,52733.3,53087.9,52656.27,52947.19,2031.48
2025-06-19 10:27:01,53100.08,53453.06,52103.17,52418.75,1868.91
2025-06-19 11:27:01,52486.14,53238.31,52439.45,53049.94,2083.36
2025-06-19 12:27:01,53190.96,54089.82,50921.24,51464.62,895.35
2025-06-19 13:27:01,51395.0,51451.42,51243.33,51381.66,597.86
2025-06-19 14:27:01,51566.73,51833.63,50728.19,51519.53,974.38
2025-06-19 15:27:01,51472.92,52592.21,51233.05,52098.74,1730.01
2025-06-19 16:27:01,51846.17,54185.25,51786.0,53000.79,1492.62
2025-06-19 17:27:01,53000.41,53181.13,50820.71,51026.07,1838.44
2025-06-19 18:27:01,50907.86,50943.89,49742.57,49799.72,769.33
2025-06-19 19:27:01,49699.96,51825.22,49235.85,51443.19,2297.47
2025-06-19 20:27:01,51414.27,52019.44,51367.97,51945.29,1604.89
2025-06-19 21:27:01,51951.49,52738.19,50564.44,51530.78,1698.36
2025-06-19 22:27:01,51464.1,54324.6,50243.4,53816.06,903.6
2025-06-19 23:27:01,53957.86,54632.98,52980.84,53941.43,1293.53
2025-06-20 00:27:01,53962.75,54833.74,53888.95,54733.92,995.08
2025-06-20 01:27:01,54698.85,55329.23,54553.99,54909.63,802.97
2025-06-20 02:27:01,54956.21,60516.89,54076.45,59353.69,2399.72
2025-06-20 03:27:01,59358.2,63291.86,58228.58,62960.49,977.46
2025-06-20 04:27:01,62975.61,63022.44,62617.93,62702.01,1880.71
2025-06-20 05:27:01,62641.42,64024.56,62113.11,63531.99,2263.18
2025-06-20 06:27:01,63731.99,65023.27,63601.28,64827.43,1356.95
2025-06-20 07:27:01,64967.29,68402.34,64278.78,66931.84,1192.0
2025-06-20 08:27:01,66926.69,68055.97,65836.82,66097.56,1612.16
2025-06-20 09:27:01,66014.87,68322.51,64682.07,67272.99,916.18
2025-06-20 10:27:01,67326.24,68667.25,67222.16,68108.57,1988.6
2025-06-20 11:27:01,68182.62,68726.72,63065.61,63694.64,1722.65
2025-06-20 12:27:01,63647.43,63845.6,61931.01,62404.96,2335.59
2025-06-20 13:27:01,62243.37,62721.79,58570.97,58651.92,3082.61
